Power_t_1,Measured speed_t_1
698718.9334389695,327900.57346045296
346603.1637939875,102187.78462442526
-428164.3188771693,-99677.86660295457
764924.3921852475,312591.3133885134
472674.83892332413,349487.8981991378
177244.45852888492,374883.4312707609
614688.3978219945,26415.209774517163
148911.06641214824,277315.03073256067
174661.4076512182,-105831.83815164631
615968.030935273,316575.66660955595
1916920.0694675453,824293.4197001822
1946137.6854024,879987.8503184709
1970978.86006582,805374.2927940624
2118219.208522069,861694.0651633235
1195090.740190966,338717.0975999265
719605.7212930836,392251.60236221936
719605.7212930836,392251.60236221936
604750.6419938317,18203.83516781949
-618125.3012669662,-64300.0330090733
865359.056571127,582326.4160121429
516144.36886254925,-87278.62079620542
421848.7732440125,28278.47267565019
896434.98185992,-109908.03995790576
2397270.931673967,665455.976250178
1826588.1558110518,1073491.9622875089
1576503.7593973265,528775.6045774068
2502911.285198037,627087.1145377068
1282383.280210551,858398.8158752314
1282383.280210551,858398.8158752314
1563158.8357578714,248425.04919759493
-1613449.306501281,-310631.063896001
-24441.392452115542,-16642.385594788662
-1021330.1289849613,-484788.6821180459
1613881.987981217,343185.5603572031
480632.2471606607,462145.89207981876
-1466446.79682834,-270743.77893914643
-1370676.4571750814,-804428.885942603
-1427838.0572589447,-745699.4892667538
-1497103.69500259,-436074.26816218125
-1497103.69500259,-436074.26816218125
-375620.7912867121,71548.86676128965
577151.1544377176,83397.90466844945
-1325712.8008940031,73176.7448201981
-1032920.3428773144,-353820.6505214544
-793306.5167079835,-345161.46930485725
-918368.6572788233,-416406.9162650047
1541294.8631857855,213543.5341086111
1296606.9123024351,344129.37722400913
-448317.0016902423,-150753.7432452854
-448317.0016902423,-150753.7432452854
-2347989.813774061,-958403.4950553337
-1525068.4606582809,-584148.6186891987
-593424.0086143456,-338783.6653363936
-2164392.9217248918,-753981.1085704541
-1727332.0385453135,-625892.9412783696
-2070115.588337833,-475554.45359296864
-1242623.523678747,-456996.1695631419
-1285418.767066966,-245940.84855428425
-1342758.3777668788,-314459.2811728077
-994727.9384905861,-282040.1082687386
-1351341.7854934884,-40620.23992745334
-224124.38138133474,342413.4866924211
628660.8455232215,442748.0041794576
449391.22077604046,419834.3278508917
790564.3135334585,380552.6852295435
-523438.5092982945,-165851.26891504548
-523438.5092982945,-165851.26891504548
-1036430.450938793,-431341.05804333434
-426488.759097831,-245103.95773937606
-553415.1297963965,-175255.66726406204
35658.773236375186,-53921.11780412383
857914.7318880805,236690.14734713506
-267352.42724719667,-61074.38868159645
-267352.42724719667,-61074.38868159645
-449382.7385549506,-389681.35480552935
2149518.483625043,894447.5049801671
2211014.241153087,878102.8643808994
1310000.5160886901,470824.3997501785
